,Name,Price
0,"Redmi 8 (Onyx Black, 64 GB)","₹9,499"
1,"Redmi 8 (Sapphire Blue, 64 GB)","₹9,499"
2,"Redmi 8 (Ruby Red, 64 GB)","₹9,499"
3,"Redmi Note 7 Pro (Space Black, 64 GB)","₹12,999"
4,"Mi A3 (More Than White, 128 GB)","₹14,999"
5,"Mi A2 (Red, 128 GB)","₹13,999"
6,"Redmi K20 Pro (Glacier Blue, 128 GB)","₹26,999"
7,"Redmi K20 Pro (Flame Red, 256 GB)","₹29,999"
8,"Redmi Note 7 Pro (Space Black, 128 GB)","₹13,999"
9,"Redmi K20 Pro (Flame Red, 128 GB)","₹26,999"
10,"Mi A3 (Kind of Grey, 128 GB)","₹14,999"
11,"Redmi K20 Pro (Carbon Black, 128 GB)","₹26,999"
12,"Mi A3 (Kind of Grey, 64 GB)","₹12,999"
13,"Redmi Note 6 Pro (Black, 64 GB)","₹11,999"
14,"Redmi Note 8 (Moonlight White, 128 GB)","₹15,199"
15,"Redmi Note 8 (Cosmic Purple, 128 GB)","₹15,866"
16,"Mi A3 (More Than White, 64 GB)","₹12,999"
17,"Redmi Note 7 Pro (Neptune Blue, 128 GB)","₹13,999"
18,"Redmi Note 6 Pro (Red, 64 GB)","₹11,999"
19,"Redmi Note 7 Pro (Nebula Red, 128 GB)","₹13,999"
20,"Redmi Note 5 Pro (Gold, 64 GB)","₹13,999"
21,"Mi A3 (Not just Blue, 128 GB)","₹17,290"
22,"Mi A3 (Not just Blue, 64 GB)","₹12,999"
23,"Redmi K20 Pro (Pearl White, 128 GB)","₹26,999"
